device_type,cpu_mhz,ram_kb,power_mw,distance_km,channel_loss_db_km,block_size,error_correction,qber,key_rate_bps,latency_s,phase1_init_s,phase2_qkd_s,phase3_post_processing_s,phase4_privacy_amp_s,phase5_key_management_s
Mid-range,104,192,42,1.4630840627358104,0.23447308732369151,4000,LDPC,0.024535603078465244,109.74383813819371,2.9887857298899827,0.2498219295922955,1.4584433501198237,0.5218464252036191,0.3697947678544503,0.12342236425165781
Mid-range,126,271,49,9.555436298928889,1.9359220106366335,1000,BCH,0.08561528744517266,232.13208866297185,2.2165676271909325,0.2201581588471994,2.470037154934648,0.7960567353053776,0.41809023532624306,0.12203987385540073
Mid-range,140,84,13,9.691863966828203,1.5689412244943337,4000,BCH,0.04525723376695166,326.8665551945938,3.4533156877648823,0.11757376548088479,2.701729091074795,0.5710559957533032,0.32661701783992797,0.11100524888913355
Mid-range,149,204,22,7.485983157695245,1.2166537727066353,4000,BCH,0.03342624633110849,442.9815932909543,4.6328440162246025,0.2884446068711433,2.5361478425572312,0.9167645336973911,0.3096973407803795,0.18166257182086856
High-end,145,123,21,9.44630018753265,1.6003711902474496,4000,BCH,0.029008010054363043,113.91428246815885,2.484284635444157,0.16579709360852504,2.294894823845727,0.5047952414429122,0.3585778536876211,0.18863776436020374
High-end,111,396,30,9.190806001800054,1.2122606567881653,4000,LDPC,0.07206320992788574,346.34299249899135,2.252700998323156,0.16711627627651895,2.3798204880940137,0.6367733752783984,0.3296024501467393,0.1494021265521104
Low-end,121,302,25,8.029535489368248,1.0292206683681422,5000,BCH,0.06400643927085481,301.8533178970223,2.118875746517771,0.3904817454596261,2.1325267819313702,0.7214628347287259,0.39320468919359447,0.17467276093294976
Mid-range,88,329,10,9.67816098264972,1.0277544255977857,2000,BCH,0.06941055681921986,274.2978616231773,4.655382744459269,0.4105411576671545,2.251063935255175,0.7173674000925578,0.37004222065413106,0.1256179060947462
Mid-range,89,315,36,8.975414385160866,0.4033414574535714,5000,LDPC,0.03509527927964896,168.5761453474894,4.3045800341134,0.45882572086455276,1.4618453621653893,0.9290497917737921,0.22982201436105384,0.14189814563024558
Mid-range,83,281,50,3.567054660110947,1.4509930896853789,1000,LDPC,0.05070290334320623,485.1104244967984,4.248770785775504,0.23473462920414484,1.281831381391565,0.9328546291244186,0.4773213018717091,0.1397654069585024
Mid-range,92,300,29,5.851040164361222,0.7067975755244729,1000,BCH,0.08954059076720307,495.3662177737007,4.8870667906644725,0.1671552152217216,2.3965586789693205,0.8964025085079488,0.34056939378048223,0.13986392006354084
Mid-range,144,499,49,4.118292762771717,0.48279348655954357,3000,BCH,0.06695413111754382,127.1682097445141,4.37613454730618,0.19866895515885186,2.259561800321582,0.5591127891803869,0.28053344585222706,0.1651460113468793
Mid-range,134,435,33,3.959054827392185,0.6484444007175899,4000,BCH,0.07891893818529556,434.022435307913,3.4480585380991444,0.44228884621019204,1.2787961581273173,0.7086140323319848,0.2280038752977857,0.1797993330643735
Mid-range,137,77,12,1.7993330311572167,1.8076370233109043,4000,LDPC,0.013838601768757508,282.68045092794364,3.111570454083824,0.41577849440182724,1.2511674180344496,0.8223420078484454,0.3298851448182305,0.1260580466914792
Low-end,120,192,29,2.490977936984804,1.0102155848870593,1000,LDPC,0.046723405162898766,206.08311330190105,3.577056751583742,0.23449299866718817,2.5227991819226028,0.6569841855233407,0.23855753528333654,0.13029907761745677
High-end,94,200,27,2.1348542707183014,0.8839517922676694,1000,LDPC,0.09696729325352713,162.1102235550144,3.2500430643651104,0.28527603288992787,2.80729225367599,0.8188640340820638,0.4696655511554319,0.14997847690291194
High-end,105,302,37,2.150651901420439,1.691433740061037,3000,LDPC,0.059340711281457625,115.34500027569554,3.546257527213799,0.48525495785280903,2.4939895521682227,0.7584242050510199,0.4508126898968317,0.18331940917026465
Mid-range,116,369,43,8.887405955826328,0.4697157286133962,3000,BCH,0.08590741604329484,368.5685157864873,2.5208481306284023,0.13661328746879575,1.1443776336595353,0.8241181342485258,0.4619222973076725,0.1591943918143803
Mid-range,102,347,11,6.908738176996086,1.7243743174944959,3000,BCH,0.08563016520294243,433.86553009352065,3.693321602162947,0.1923420490311677,2.5336377884674803,0.6329506483591201,0.21100404342859147,0.14678826781919244
High-end,105,241,11,2.760750062147144,0.5981639339353322,1000,BCH,0.038255241193414384,107.25623740589447,2.8818986096682675,0.22856046683698425,2.984508406157424,0.5276002954681762,0.26197809738468975,0.1268642026361788
High-end,134,504,34,9.27828032023048,1.8120593770723834,1000,LDPC,0.027663142288636762,405.44200622733564,4.863091046143074,0.3139425806473229,2.531089975242868,0.8332404416537057,0.43037191794673374,0.15844965804472533
Mid-range,140,442,29,6.612842685983558,1.4500565294267431,2000,BCH,0.01937945565670461,130.44720734073977,3.923719461707267,0.11703092889326189,2.7342063012159126,0.6257505895147442,0.20317630262884834,0.1653285261150758
Mid-range,165,83,10,4.777628302274222,0.9189640361392271,2000,LDPC,0.04023563971079421,243.07654493373505,4.983195073513238,0.12561280459899538,2.833644621493206,0.6848341953708483,0.33894475363328447,0.1873745090239638
Mid-range,139,277,11,5.145427684446594,0.6678281762496618,3000,LDPC,0.040644936882909294,119.25737170042603,2.90242864969561,0.23967361358665615,2.825127063436421,0.731206906724928,0.38610405219944455,0.12376151534104925
Mid-range,144,286,40,3.600197154897893,1.1353576302307256,3000,LDPC,0.09785971852449872,432.02296820598616,2.126609710904992,0.24208825487546673,2.166488442668368,0.7388424282884934,0.3908428971182718,0.12683195313474596
Mid-range,108,148,14,1.2934954938173118,0.5219913570556366,4000,LDPC,0.015727178817898188,181.92643054308073,3.2248574603348406,0.28661662363768836,1.4062608591466013,0.948798289863825,0.2884475600516162,0.11486148149650136
Mid-range,113,246,50,7.501955520186262,0.7982619368022217,5000,LDPC,0.012476229319936145,343.19502278883,3.489815583101434,0.18559977647342352,1.3012131630808772,0.5038711968625107,0.2799559272985309,0.11136718598768201
Low-end,83,119,33,3.9546261897587724,0.7478790744809007,4000,BCH,0.07099099433333889,182.31446263031077,2.423398025720152,0.2091533297398799,1.4616896744882808,0.782879913825854,0.21854505989983009,0.13851382881319035
Mid-range,108,129,23,5.114364947448855,0.7884447706709299,1000,LDPC,0.024461757777514394,119.80850342411009,4.281796799244335,0.17496920339089167,2.6962761744643924,0.8191948063161261,0.3787760345485328,0.16201405991679638
Mid-range,127,508,46,4.680534507357673,0.939372186726581,4000,BCH,0.06558066914358303,339.8514179810495,2.2176149791062123,0.43358456018169556,1.1697146056695844,0.7749377548965719,0.42317616231937005,0.18171146650353562
Low-end,157,446,35,3.3870571717543,1.7581096493940394,5000,LDPC,0.011878234680803424,337.63027932532356,4.316018303205322,0.49125691593845844,1.2164929241546765,0.6018635583076091,0.3114639080171179,0.1503286295525445
High-end,164,118,50,7.211049113364917,0.2537733286889892,5000,BCH,0.09533219352546181,159.68299334473684,2.4600153853220466,0.4732741145928938,1.5250515261932662,0.7699885485061089,0.31132466302738054,0.10360673145267958
High-end,93,279,49,0.5870601623397259,0.7731870003049088,2000,BCH,0.08601329143618083,459.9866579381649,4.924421828178099,0.2665932050772995,1.899402315202575,0.6098533932281358,0.2364562170450288,0.18561662616895847
Low-end,146,100,36,5.004530573048022,1.9970900605216446,2000,BCH,0.01558934661528346,473.99309298558825,3.039288635010595,0.4801849118628929,2.885769727830369,0.8852777497940201,0.41820616459337,0.1290853353443659
High-end,84,279,21,2.162900003088663,1.14826080288178,4000,BCH,0.0889756842240347,207.3389249341758,3.4130496715720655,0.1899739012511745,2.7617465573182747,0.9919699741057676,0.39457116437953754,0.1006358056734646
Low-end,104,409,48,4.199100174527668,0.4232117194955944,1000,BCH,0.04357329695262828,435.4030352230031,3.4807287134520917,0.47867899693795635,2.618975043219135,0.669055188539854,0.36994991261658594,0.18891074150200715
Mid-range,126,460,48,9.34749164482433,0.6266030516142381,2000,LDPC,0.06318889506395672,397.582187490818,2.743032557085183,0.18557231818207867,2.2371379262494857,0.8823738744941295,0.46166638460084025,0.11373013160965494
Mid-range,161,497,22,8.36106397628405,1.8592836239680592,3000,LDPC,0.0650680751201005,168.2284937309617,3.645607775887373,0.13045250557941684,2.3289438030971708,0.7389890755682962,0.47317605984444194,0.1622011736519029
Low-end,152,430,19,9.399458334692941,0.7895080912976391,4000,LDPC,0.0819363126351039,392.6151853125048,4.931320056882263,0.4623040615689369,2.8123548510540166,0.5209049321643355,0.20005457931560405,0.11740511896932831
Low-end,115,116,21,8.327381077772582,0.6478233273991534,2000,LDPC,0.050599201955200235,208.762742005137,3.3506347788612705,0.17703983790740807,2.985668442275899,0.844724442956682,0.2098278011934135,0.12084423375407755
Low-end,150,465,11,3.912160102901121,1.160932183137333,5000,LDPC,0.033982927448855386,420.8709200815607,2.4962714975919624,0.43123439072085734,1.716738137363299,0.9480235301129798,0.24222542640920508,0.19094543720204366
Low-end,159,200,10,5.5871878009450455,1.2351432141419607,4000,LDPC,0.08343243069419795,372.04041255087594,2.618748492495218,0.20976649030041986,2.547394791235966,0.6592229579675519,0.4723154751194988,0.1413434058487476
Mid-range,92,64,32,6.935121109055291,0.9400398219052488,1000,BCH,0.08806551472449707,445.6341621272268,3.1120553828675344,0.48284179836908614,2.5882968060638225,0.7730668556880177,0.20745499274445758,0.1946791261922392
Low-end,162,491,38,3.9488982036677793,1.127147893139611,3000,LDPC,0.08654914600132699,296.52330713999356,4.282271300280321,0.4724827075621547,1.6921849046699764,0.5092101645584746,0.4814982102840215,0.19270585078133143
Low-end,136,509,45,3.377998619516409,1.7809596125019898,4000,LDPC,0.09310183012003193,374.72178117511294,3.0040153241585736,0.4051208110498695,1.7247863437355402,0.9244115172706842,0.4523582973865557,0.12086585763660772
Mid-range,140,118,36,1.3343893395967659,1.4674377116631951,2000,BCH,0.09236415289351585,374.45640414021943,3.9606868687311767,0.1584872958171354,1.0838038912472492,0.5874977168218699,0.2703973488468252,0.11958403947694446
Low-end,147,463,46,2.2524901801947084,0.25865163741168856,3000,LDPC,0.07404048892282719,462.21341951935904,2.3600586382411266,0.18788541138184672,1.3469664395817604,0.8749611641677204,0.49929898133708883,0.19028379875338086
High-end,112,319,17,2.8350562878317036,1.1894415387473767,3000,BCH,0.08747364237855076,265.0373771743633,4.367783210026213,0.10382064015920177,2.776996586079279,0.9067340158202106,0.2036811067198478,0.11245385412314511
High-end,154,179,12,4.810317080250294,1.4270852701889079,1000,LDPC,0.036861284354635794,356.0090420736568,3.7901325438217874,0.27403708025986334,1.7280886975673029,0.747437051026907,0.49163854296587556,0.16564745722625535
High-end,85,185,23,1.2108960750045858,0.36430376095998784,2000,BCH,0.02774793475645116,330.641524699163,4.166647543892564,0.28553831782058736,2.4308304719243723,0.7740883594606653,0.37614021255027585,0.168520374319235
Low-end,93,332,40,8.362175302616464,1.6777902693652813,2000,BCH,0.0889438050883639,438.70859062307994,4.172125576548211,0.24326403889899573,2.843798630500082,0.547035962855469,0.3276475890140136,0.11701613995026791
Mid-range,139,147,18,7.455336660577091,1.4147317468974103,3000,LDPC,0.0198904731334123,492.7859079327354,4.904758856445541,0.22088777003377108,2.5718891419138608,0.7166013515946092,0.3491640089099314,0.15308858817600388
Low-end,147,174,38,8.956994267787886,1.7739758274471054,4000,LDPC,0.053356997954566915,471.70907651284716,3.59025458615914,0.10578843517206914,1.9484078113488303,0.7793689088952571,0.2473374866172486,0.14977066360971847
High-end,143,362,30,7.659978649009822,1.9540593717891945,3000,LDPC,0.08691696837846284,377.9082223958249,2.4235555620727416,0.10538369022660997,1.2499974247688015,0.7924807107843004,0.4133283172903796,0.11204282016311362
High-end,118,312,33,2.4168230153509507,1.814768373589841,2000,LDPC,0.07943782828595017,158.0027012499411,4.735741129503051,0.12427339839033454,2.070663950054647,0.8994203316906211,0.4405846514038298,0.11827598662407701
High-end,134,313,37,3.5268492956721307,1.7528937895364531,2000,BCH,0.08175753539326619,384.19653965845725,4.9830198763596165,0.3715423578361754,2.9562793494161266,0.8524085087891475,0.23865575099163785,0.10474213992571325
Low-end,114,470,44,9.717821206321007,1.8274175774580892,2000,LDPC,0.05229474033886347,318.56151623823496,2.6339491136721724,0.2318718110968872,1.3801195840994942,0.854700248877382,0.3375069356943749,0.1455817942156829
Mid-range,163,172,50,9.28345338112378,1.7969721787851503,1000,BCH,0.06459449454704781,155.78443048389713,4.8310425729957185,0.456912232157516,2.596413366318359,0.8116186860505809,0.40941642370281656,0.15655960851522768
Mid-range,156,194,48,5.493237838981622,0.46339420797486547,5000,LDPC,0.029565450257279018,217.36207579498105,3.2774630572253005,0.16843255472395635,1.2213360919638125,0.8717432490880133,0.3445011680373406,0.19311235882638972
Low-end,162,123,44,7.631857844128635,1.0521246022482398,3000,LDPC,0.041167058980643746,485.7634637951183,4.627804936678933,0.13284818378420496,1.2300902188788534,0.8426658858466849,0.2927158690926309,0.12227242069729027
Low-end,149,128,31,7.561755800824106,0.7997006825441053,1000,LDPC,0.08437574330529478,384.461371588656,2.4959656518668636,0.28551600754271644,1.981152940545194,0.784486804283244,0.40825791267601447,0.1325061523187567
Low-end,122,496,21,3.6696896881115295,1.8288813708751064,3000,BCH,0.02049833572937676,117.60197233463802,4.751785728711384,0.16877540807317243,1.0183672458321305,0.8392239772202712,0.2671759358461768,0.17865285414382237
Mid-range,143,144,21,5.465408735714956,1.593473787038886,4000,BCH,0.08787507643909394,241.60166431541992,4.332160888565313,0.3913491870957426,1.7110063524466117,0.626408886135428,0.45835890405367974,0.1404119341985453
Mid-range,100,158,49,8.003798692418233,0.6584668506647438,3000,LDPC,0.08905131030184237,134.58305426167226,2.441725340688842,0.39554248277796455,2.0893968447988653,0.5809095848383872,0.3437723161281917,0.19255253371420072
Low-end,92,262,29,2.3660527626350953,0.2650030577689045,5000,BCH,0.06927558911743045,360.9804541525152,2.3983777717678616,0.35902666599549726,2.586479069870265,0.7378054876007445,0.35219726142353336,0.1165731159527495
Mid-range,143,362,26,3.1691784857248293,1.4500496118140485,1000,LDPC,0.03220979840120851,179.40300235735327,2.873585759002998,0.43123815334563864,1.0076334927067987,0.9978743241579981,0.36936361030381615,0.18759808594593588
Low-end,103,102,10,4.250163360273626,1.7407491196358746,5000,BCH,0.07668815113219808,222.89457105523115,4.287855733734725,0.13254849740735733,2.128712285000749,0.926495189769855,0.2977086293397513,0.15409831689041636
High-end,136,446,49,5.593222031390674,1.1637765487344534,4000,BCH,0.08250106792905107,270.2644193278263,2.4995706755239744,0.48070738680982206,1.795988977009926,0.6296802722299144,0.4275135269743615,0.10014137636509925
High-end,135,343,37,9.14390328608044,0.5976409887043865,2000,BCH,0.0910430599216454,344.1945713135725,3.1769285330749013,0.4136739545426028,1.9104457943817705,0.8331169541303736,0.20965430130095733,0.1835950582826212
High-end,87,184,27,2.8400313694712493,0.8376861676244642,5000,LDPC,0.021493578980526375,240.99377725925183,2.447873677482487,0.20607200663646938,1.903258735700226,0.8871922847202198,0.49798496956564914,0.10673387553892683
Mid-range,93,247,13,4.091391202712533,1.0349998070600184,2000,LDPC,0.07170121278055307,270.0778599463434,2.2965310166808566,0.14489758404057224,2.620610945953776,0.595612534128874,0.35780306146994767,0.18162515045924787
Mid-range,109,186,33,6.100583153873034,1.0900365502206408,3000,BCH,0.015341636321102577,301.2746610363595,4.949122731881982,0.18445038888459162,2.131930244577979,0.9515497114390867,0.2946995016274804,0.10276840831315888
Low-end,143,234,35,1.1532234626350657,1.4862008296232785,5000,BCH,0.05157443460830296,350.6439671621692,2.484380343779929,0.13861621691716125,2.970674645879793,0.5678137761150726,0.2726784867646745,0.12891609680150928
Mid-range,155,194,34,5.939179226248958,0.49805270150549985,4000,BCH,0.0682652254337493,395.7800255185882,2.702496007890168,0.4290292937635236,2.262641042172797,0.7018352824514306,0.3833756026662074,0.12376009115815688
Mid-range,81,265,18,9.173058929876671,0.4447181919583195,4000,BCH,0.09693578281935686,471.0011567564908,4.1942290758695,0.33367543719451953,1.2401658075812891,0.8798110654100072,0.25371161917857127,0.12901864068533028
Mid-range,86,134,43,8.107840178459947,0.9470957218398168,3000,BCH,0.09590650744747796,347.54895570444717,4.190225235398222,0.2627800285401817,1.544728409851865,0.767841203048279,0.36361924084862224,0.14614779830777103
Mid-range,102,400,29,2.5551319234414103,0.8596410840705697,5000,BCH,0.015529280854717935,272.5536198997871,3.0850411023303983,0.11919736487354866,2.59401868817248,0.5495428065390981,0.32566429231020855,0.18353583794724762
High-end,162,245,38,9.839968740357445,0.8495584675906136,4000,BCH,0.06543081298633091,299.1292908387533,4.569847977445981,0.22428969464866438,1.6094972183107787,0.8602641095713016,0.473677597135044,0.18726166586155588
Mid-range,165,435,24,7.0972820685186,1.8519491865482844,4000,LDPC,0.09036857906917055,284.7055886291748,2.971244350884918,0.327926811805453,1.7161618610926102,0.5952197226335659,0.429420732820033,0.15868140708335302
High-end,102,369,36,1.0228580109295897,0.37762448101574886,1000,LDPC,0.025030725503109134,269.41891100513476,2.1939984108138155,0.348994500240543,1.4134438859919916,0.9708110107553571,0.43893168505474556,0.14666812973276458
Low-end,133,111,32,2.22505495021398,1.4301010069586824,1000,LDPC,0.09544427796365701,172.4204340383278,4.5786071347253925,0.15253824186673343,1.4262685021996377,0.9701496061908385,0.2875302267704435,0.18863769448594114
Mid-range,93,169,11,6.369028390725897,0.6937886079352596,2000,BCH,0.07291525206447738,479.5166786456027,2.7263243160615636,0.46991581905463164,2.1298384546347284,0.8074861633798296,0.2848675373107373,0.1872318260466341
Mid-range,96,404,40,8.989018692026573,1.5699229568899418,2000,BCH,0.09286031899254342,266.6767581894046,3.37991820750908,0.3508802985789571,2.2991166737722457,0.8057262411448085,0.3636898902259139,0.10473680929913408
Mid-range,120,476,35,5.223259581139762,0.44141659343630835,1000,LDPC,0.023831848782777446,200.18744014413062,4.4111086323531685,0.16406185550965474,2.4067780843970823,0.7346674569853989,0.317691709965016,0.19949994529156945
Low-end,124,357,49,2.5249666472072394,1.034604392187676,4000,LDPC,0.010705684353009823,452.0382904710929,2.960969521336548,0.2366577531712443,2.390191416618144,0.7642073041958122,0.4239807743034418,0.15644346121594777
High-end,83,184,31,9.59400749996212,0.5683074324800075,5000,LDPC,0.06717792146577446,129.03417091493264,3.0786772889914897,0.2646341772630457,2.690252730152478,0.8848804840517722,0.4864169664452003,0.1611238184162421
Mid-range,114,339,24,5.808333401590662,1.2299188597688426,5000,BCH,0.019477641405828708,273.3371531035873,3.2856668792213886,0.1649929024707209,2.7927047928800874,0.8150929177068277,0.21961843553466934,0.14087418192905202
Mid-range,146,456,18,3.757181048346994,0.7677280829229394,4000,LDPC,0.06416919222757576,495.55676648883906,4.734951243389582,0.3968809822504139,2.3026758462397696,0.8053957715923756,0.2602250257943006,0.11397767360360551
Low-end,148,396,33,4.481235082370925,1.9260809476038911,2000,BCH,0.02413908828587495,308.0021827004607,4.148986945023035,0.2643737866816912,2.6314859415872327,0.6229975358481994,0.3517414718010552,0.1327504685469083
High-end,127,154,48,2.9178234820837385,1.9990614834730427,4000,BCH,0.03483118683126031,373.130206676409,4.588786372209846,0.450105244075372,1.375412150463075,0.5238333742524788,0.20886846154100924,0.11179933943963184
Mid-range,139,304,29,1.0835563219357378,0.4129701016083305,4000,BCH,0.09932960868824034,226.3349414284845,3.358621570205634,0.26576304685369406,2.3102139892486453,0.8906162525386658,0.43650946345639174,0.12599766754117112
High-end,138,334,27,4.551712183199243,1.5862320355641661,1000,LDPC,0.06362361699578999,443.7937773610054,4.625927630462678,0.1704558455301434,2.1875712250890498,0.9010320284359015,0.3323503078613951,0.11563473983110457
High-end,158,187,24,0.5012597581583342,0.7651284919109715,5000,BCH,0.058335455885347734,261.8467938340575,2.240667730330276,0.468895707403871,1.8821573133300278,0.8664041419484237,0.42603806321504034,0.16213109917608692
Mid-range,86,211,44,0.10602839796131373,0.24275947656705998,1000,LDPC,0.04218264260281526,272.16299640638965,3.674568984882508,0.25420533280878066,1.2938255066545923,0.7778787414166848,0.47339348399924375,0.1437304278158128
Mid-range,132,445,34,9.651506217982115,1.1960842669841771,5000,LDPC,0.03823872988124142,259.2570158820937,2.386930356562802,0.20397271789673665,1.929139081934905,0.8372493604523357,0.22616945378898667,0.11481206541318789
High-end,106,308,21,2.188257454281569,1.9075049877509587,5000,BCH,0.0505691111860415,167.43413455780114,4.849827673074954,0.3625881377960276,1.9977663029651345,0.8810004444571249,0.4661465540172563,0.10567736757989858
Mid-range,126,341,43,9.433062181988143,0.935522987721606,3000,BCH,0.07091195350981282,167.78745985913434,2.4399169462183137,0.3422628939978295,2.483774342350219,0.7494433199532387,0.4642980757259587,0.11829132295751285
Mid-range,121,235,34,7.114089364826455,1.1830131333631757,1000,LDPC,0.05749731105956098,192.4033690625966,3.446406681965798,0.4285958781767809,1.5149854607498219,0.7603070018393406,0.24332608567433056,0.1729377319948035
Low-end,159,157,24,7.929719541557343,0.2566687777066894,2000,BCH,0.04215514025669569,268.794706339226,4.735007596901855,0.20511732456874454,1.369091086883414,0.9084583538463351,0.3313132062001203,0.10541864157639808
Mid-range,151,204,16,3.567555059560685,0.9868112020993245,3000,BCH,0.037637321211829396,465.7805040029572,2.059507096163834,0.11936136611242248,1.7361919983098686,0.8645271824484209,0.33269084007803484,0.1280179465924379
Mid-range,141,111,33,6.425536971968223,1.2340707981694539,5000,BCH,0.036541915183214826,140.88079516468525,2.4958482483007494,0.22246724822595276,2.5478205833846044,0.6412096572585583,0.239780014031217,0.19759612978973556
Low-end,108,495,46,3.783017554096529,0.3290094842036862,5000,LDPC,0.07577083550499043,460.9695656696081,2.8751067589766044,0.2953998081326654,2.2090020237067938,0.680465781089266,0.2626905009781646,0.18866259845869454
Low-end,142,433,24,2.996211936375712,1.7210330558911107,1000,LDPC,0.07274265724433741,144.72598281953123,4.400745253200534,0.39788007072965403,1.5065726938809596,0.6115710247882681,0.29019352479848015,0.14599993623216892
Mid-range,112,208,42,0.783599764229648,1.2379974269940195,4000,BCH,0.017458332581207863,368.30426944054324,4.405331707022329,0.18609837884414368,2.9516247842220773,0.9194388765739098,0.47167441965514156,0.1558548150758852
Mid-range,82,465,22,3.5499036969374145,0.6755909060338654,5000,LDPC,0.02907657700592997,421.2071390708777,4.02640920339238,0.337413067589185,2.053263836869915,0.5940358917993394,0.3226755357958723,0.1371948508502093
High-end,151,254,29,6.259731889634767,0.5687713707184388,2000,BCH,0.02304714993266207,141.93145038131752,3.933086338004388,0.24275976949598427,1.1286091184702032,0.7122172480488081,0.37152806692872853,0.10773008790421752
High-end,159,508,30,8.986424029018766,0.9663502344827422,4000,LDPC,0.07997543290581585,121.67513643190557,4.663188418844516,0.3963323376162339,2.67182235783349,0.5828934474576775,0.4680771733797796,0.17735402030287972
Low-end,106,129,14,4.455107177497307,1.626556160366737,3000,LDPC,0.011413687998989914,410.4901270045786,3.461161685935941,0.17303679215066253,2.201462480067494,0.5759603948769048,0.21096045871413802,0.13478172636252939
Mid-range,142,462,32,6.967158385656934,0.7549379967764931,5000,LDPC,0.05474865889073884,148.93496452176697,2.790955721030946,0.19658162981991387,1.6030294437135482,0.8997354717477537,0.41030048513799133,0.11613374770174409
Mid-range,109,304,45,4.205327609738762,0.8448209211849702,2000,LDPC,0.06412095140233917,398.54118665089845,2.1157962730783098,0.13017018365361754,1.5292645027145508,0.5427358740531925,0.473915349590052,0.15195304613496483
Low-end,102,256,27,1.3047392321111924,1.6874217652523908,1000,LDPC,0.019340607174600774,294.4418560207133,3.622607495629927,0.29027813403481395,1.5779464232757439,0.7521732718978598,0.22896496700995475,0.1593293284435848
Mid-range,133,330,24,7.475884441009308,0.8441558650427397,5000,LDPC,0.044005044810076596,297.5132427987876,3.9077074011414883,0.39064570425626244,1.4002442686319614,0.9346907635002344,0.35481275733987533,0.15517985620161184
Mid-range,143,315,18,4.187608729722633,1.905076249637325,4000,BCH,0.07803146375538722,225.5551233502697,4.7817437974590185,0.3374369978835333,1.2494604875027868,0.633479626156854,0.2591056607873211,0.16030277945631943
Mid-range,91,223,12,1.0241548570930594,1.8978895879165176,2000,BCH,0.03247682265558265,224.6162504247955,3.3454089440790025,0.20575526531439592,1.8057202925709583,0.7238322270104053,0.3627367203040025,0.13379588447018653
High-end,87,246,47,5.99899297778164,0.45896752543872543,4000,BCH,0.0249822503532532,106.12416544513633,2.241272456924963,0.314582027414687,2.640422866340283,0.6821572230232302,0.49031004634618713,0.17947460997218026
Low-end,153,203,33,6.462823112765428,0.3183001381556326,4000,BCH,0.028267081895699868,286.5392022157538,2.469900440389737,0.3141036895978122,2.5811642390289236,0.8658092886151483,0.440308674820476,0.14901040950904867
Low-end,134,175,19,5.326778679385051,0.21307893087061514,3000,LDPC,0.02069036263850981,384.6022228057274,3.6446257863864053,0.3017202108435327,1.1162161750975543,0.7101213011180906,0.2841649116790542,0.18036279419461596
Low-end,164,276,40,9.145720316321807,0.3158737610545905,4000,LDPC,0.09141806833228505,405.4122580380311,2.6696765905155138,0.32237006863312656,1.6162483364084574,0.9304607219816088,0.29250193226362864,0.19390611957724407
Mid-range,167,411,19,6.775566520543162,1.6381415019370482,5000,LDPC,0.015546988563756288,245.88286623269298,2.924314247086695,0.46005926472855274,1.3149654819186694,0.8940035458143051,0.30605932341142167,0.15289787332787877
High-end,129,318,29,5.788081328765746,1.250613820126063,2000,BCH,0.06093867199635402,159.9935531682557,3.064693210310831,0.11961967501703935,1.5903077984673737,0.9114255965326252,0.4820735059828212,0.1964186955056089
High-end,80,73,35,4.713791523854781,1.827546373144269,4000,LDPC,0.03641744641576874,434.66364356741866,2.582288926833876,0.37736466152949644,2.796776296570236,0.9832621160150903,0.42856346566496734,0.12496758594564707
Low-end,168,262,21,3.190945129747758,1.0307455190487989,5000,BCH,0.07170793089214741,236.84125384387005,2.217198489330186,0.4936937092848157,1.5036946842976124,0.9546342540697763,0.23244482140497447,0.1786329281674061
High-end,135,446,38,7.8437716268325035,1.2832206288858097,3000,LDPC,0.09675950535451654,188.64313352232915,4.015529307074427,0.23713052587596187,2.9011875263959173,0.7907205076765118,0.36857472950365944,0.12134203760882073
Low-end,153,110,49,8.50025917171489,0.9177069755095812,1000,LDPC,0.06469096990490558,357.28865458057624,4.852576371830958,0.46183747606561365,1.7990504746362908,0.770598288835342,0.32154735631049,0.18702927823398618
High-end,81,236,21,7.205370307385868,0.8930432031566073,4000,LDPC,0.05209299831753454,263.6459210979837,3.6518587196683496,0.3073982809315488,1.846511462493787,0.7506319498948728,0.26569286808233045,0.10408426382188231
High-end,105,345,33,9.187138903279507,0.24943601065829657,1000,BCH,0.013660168871437471,415.992350600016,2.3624670732370934,0.10312034891737075,1.7171241876379424,0.6677156499766833,0.4170566583632508,0.1962925450184153
Mid-range,81,214,20,1.2673932841884983,1.6263528731217467,1000,BCH,0.09563743636107176,370.9294015197907,4.520012100138933,0.42668137278431584,2.4015101030389703,0.9283295605011549,0.42193497026411075,0.19827561209173725
Mid-range,98,471,49,7.739569084586762,1.163909427135707,1000,LDPC,0.0350639465545126,184.0618867136762,2.8179258874747335,0.3425535841532218,2.2369281172970683,0.6072708695193327,0.23342926411630166,0.1694713972302385
Mid-range,94,93,25,6.166124330432653,1.1752308122440736,3000,BCH,0.056217338387323845,115.87260973414386,3.682616446871109,0.4198405043027381,2.218951252935187,0.5405455387584681,0.31189636692296824,0.14479153925976712
Mid-range,88,330,20,7.211854933085734,1.5583420787918367,5000,LDPC,0.04237984268263441,194.96037481134573,2.1524025630044235,0.14139363892374368,2.373509026857504,0.829252474299454,0.46328089842745057,0.14423915051639616
Low-end,103,403,43,7.146263190288955,0.8861945201862402,5000,BCH,0.05009143681417491,376.1777535979876,4.334448027608957,0.4361343184123957,2.0374407759422164,0.5167219713807063,0.3691609954354119,0.12683945188432466
